Model,Accuracy,F1_macro,F1_weighted,Precision_macro,Recall_macro,Inference_ms
LogReg,0.8967,0.8988,0.8976,0.9034,0.8963,0.0072
RandomForest,0.8056,0.814,0.8111,0.8372,0.8061,0.1241
LSTM,0.5359,0.4724,0.4871,0.4889,0.5184,9.1284
ImprovedTinyBERTFull,0.9387,0.9404,0.939,0.9423,0.9402,0.2825
